,screen_name
habike_ade,4
aminuyaro_,4
uwaziesamson1,4
Apinranc,4
IjiolaDasola,4
shamrahFSM,4
FulaniBoy14,4
InterswitchGRP,4
Dera_ATM,4
Ada_Sparkling,4
nuxlawrence,4
9jalinksmedia,4
onerolladay,4
DangoKader,4
MarcelNwamanna,4
Dinma_DinmaRose,4
miss_eniola,4
PrincessSleem,4
godstym54,4
IkHEOAphilip,4
1st9ja,4
nathanielabdu16,3
El_phizzle99,3
arowolo_sodeeq,3
Lincoln_bms,3
SBolomick,3
JosephOnuorah,3
libertyadvocat,3
Tibashbaba,3
dupearifaogun,3
Ijay_oma,3
vj_sato,3
Afolasakin01,3
madamkeji,3
obaofph01,3
SkyLove9103,3
Themmylahdey,3
ManUtdInPidgin,3
FeeFii__,3
omojessikat,3
micmuyees_fm,3
NnajiJohn_ken,3
DorisObiebi2,3
HamzatMuhsinah,3
olusolaadedayo,3
_drernest,3
babanla101,3
ZionDozie,3
elohigbe,3
GiftKings11,3
FcMutuallzs,3
Otunba_Alao,3
parker_anthonia,3
sweteneerv,3
CHIOma91198692,3
justin_obongha,3
urFavDesigner,3
Auficia,3
Naberzshoes,3
neromakanaki,3
AjokeImran,3
GodwinOdiko,3
mn_almustapha,3
HOTBOYSUMMER181,3
emman0147,3
RezRaphael,3
_Feeleep,3
numeric_nigeria,3
israel_ogunremi,3
Tesvstheworld,3
AgblevorFrancis,3
jyded2010,3
stayEminent,3
Ayomide922,3
MilleyBerrySnr,3
goodie_cyrus,3
olaofph01,3
lanre4luv01,3
scream_colour,3
brahmuyi,3
jibril_Aminu_,3
_joshuaot,3
patiwu1977,3
NasiruMtafida1,3
Stickz_jonez,3
Ricado072,3
Msolmuzik,3
stuckinnaija,3
Kriss27101,3
GYPHTED1,3
DCaringNurse,3
ronkeomomummy,3
CYNTHIA40285592,3
bedexofabuja,3
Angela643566262,3
f1_naija,3
Godtreasure301,3
caress911,3
BichiMahmoud,3
Iam_da_nail,3
Iyanuni_,3
mbakari,3
AboloreOlajide,3
flamaj_,3
Khannahblack,3
DooshimaDanladi,3
sammyifejika,3
haryour_samuel,3
Mrmogul3,3
sticoz07,3
okekemezie1,3
bjama_b,3
Oceediary,3
CucurellaB,3
yossie23b,3
ayatoullah_,3
Biggpeace,3
storacares25,3
iconxammy,3
Petersonade,3
Diamonds20182,3
benosas24,3
Sisi_Zee,3
istifanussarki,3
Naphypearll,3
skyface2000,3
kurdm_U,3
mr_GJacksonn,3
JoeEze12,3
Law_Renz28,3
CatiaKyen,3
AtieGodfrey,3
chinanalyst7110,3
nomadic_mohh,3
abdul_tsari,3
Yahya7YIKs,3
PickMeEmy,3
FMEnvCCNG,3
